# {
#     "poni_version": 2.1,
#     "dist": 0.15768496156055517,
#     "poni1": 0.01846849792105989,
#     "poni2": 0.014689110424981307,
#     "rot1": -0.5666082591692108,
#     "rot2": -0.0014812675151785156,
#     "rot3": 0.0,
#     "detector": "Pilatus100k",
#     "detector_config": {
#         "orientation": 3
#     },
#     "wavelength": 1.0332016536100021e-10
# }
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 123.54586177870002
# --> /Users/vsomani/Documents/SWAXS_data_reduction_correction_Analysis/demo/1D/WAXS/Reduction/Hor_scan_Run5_RampT20_ctr0_scan1_0000_WAXS.dat
#       q_nm^-1              I           sigma 
  1.704679e+01    3.317094e+00   1.080574e-02
  1.707731e+01    3.190534e+00   1.027071e-02
  1.710783e+01    3.079525e+00   1.039194e-02
  1.713836e+01    2.970157e+00   9.918287e-03
  1.716888e+01    2.856742e+00   9.995969e-03
  1.719941e+01    2.770109e+00   9.568687e-03
  1.722993e+01    2.723423e+00   9.775326e-03
  1.726045e+01    2.675969e+00   9.421055e-03
  1.729098e+01    2.627033e+00   9.606641e-03
  1.732150e+01    2.589722e+00   9.269145e-03
  1.735203e+01    2.566008e+00   9.505264e-03
  1.738255e+01    2.540011e+00   9.198142e-03
  1.741307e+01    2.514288e+00   9.397907e-03
  1.744360e+01    2.493598e+00   9.115149e-03
  1.747412e+01    2.476375e+00   9.323492e-03
  1.750465e+01    2.460571e+00   9.050253e-03
  1.753517e+01    2.442533e+00   9.254997e-03
  1.756569e+01    2.429486e+00   8.984224e-03
  1.759622e+01    2.428099e+00   9.231020e-03
  1.762674e+01    2.418881e+00   8.971763e-03
  1.765727e+01    2.401050e+00   9.176385e-03
  1.768779e+01    2.388959e+00   8.926718e-03
  1.771831e+01    2.395337e+00   9.172058e-03
  1.774884e+01    2.393748e+00   8.953277e-03
  1.777936e+01    2.362590e+00   9.113926e-03
  1.780989e+01    2.324581e+00   8.804700e-03
  1.784041e+01    2.320266e+00   9.030517e-03
  1.787093e+01    2.320241e+00   8.803384e-03
  1.790146e+01    2.308375e+00   9.008235e-03
  1.793198e+01    2.294141e+00   8.741554e-03
  1.796250e+01    2.277800e+00   8.951855e-03
  1.799303e+01    2.265192e+00   8.681071e-03
  1.802355e+01    2.245400e+00   8.885175e-03
  1.805408e+01    2.237669e+00   8.631835e-03
  1.808460e+01    2.233195e+00   8.863412e-03
  1.811512e+01    2.221012e+00   8.611268e-03
  1.814565e+01    2.212991e+00   8.812905e-03
  1.817617e+01    2.196355e+00   8.568609e-03
  1.820670e+01    2.186698e+00   8.755974e-03
  1.823722e+01    2.174037e+00   8.525756e-03
  1.826774e+01    2.165449e+00   8.712798e-03
  1.829827e+01    2.151525e+00   8.475478e-03
  1.832879e+01    2.146702e+00   8.666218e-03
  1.835932e+01    2.147035e+00   8.461701e-03
  1.838984e+01    2.146118e+00   8.658765e-03
  1.842036e+01    2.137416e+00   8.438842e-03
  1.845089e+01    2.130309e+00   8.618081e-03
  1.848141e+01    2.119628e+00   8.399900e-03
  1.851194e+01    2.114244e+00   8.590253e-03
  1.854246e+01    2.102801e+00   8.367198e-03
  1.857298e+01    2.089942e+00   8.545952e-03
  1.860351e+01    2.081353e+00   8.319573e-03
  1.863403e+01    2.076625e+00   8.522560e-03
  1.866456e+01    2.074581e+00   8.302928e-03
  1.869508e+01    2.065274e+00   8.502638e-03
  1.872560e+01    2.057647e+00   8.266796e-03
  1.875613e+01    2.050160e+00   8.478555e-03
  1.878665e+01    2.052098e+00   8.246817e-03
  1.881718e+01    2.044335e+00   8.467456e-03
  1.884770e+01    2.023594e+00   8.170816e-03
  1.887822e+01    2.023088e+00   8.414349e-03
  1.890875e+01    2.013859e+00   8.158152e-03
  1.893927e+01    1.995209e+00   8.340154e-03
  1.896980e+01    1.988518e+00   8.094406e-03
  1.900032e+01    1.999042e+00   8.356210e-03
  1.903084e+01    1.995685e+00   8.095616e-03
  1.906137e+01    1.988977e+00   8.324583e-03
  1.909189e+01    1.973337e+00   8.044591e-03
  1.912242e+01    1.965849e+00   8.272880e-03
  1.915294e+01    1.973113e+00   8.042715e-03
  1.918346e+01    1.973881e+00   8.295745e-03
  1.921399e+01    1.955317e+00   8.004618e-03
  1.924451e+01    1.943461e+00   8.221554e-03
  1.927503e+01    1.938725e+00   7.978578e-03
  1.930556e+01    1.930291e+00   8.188872e-03
  1.933608e+01    1.931361e+00   7.949091e-03
  1.936661e+01    1.942132e+00   8.223520e-03
  1.939713e+01    1.927442e+00   7.942709e-03
  1.942765e+01    1.911013e+00   8.148842e-03
  1.945818e+01    1.905572e+00   7.884771e-03
  1.948870e+01    1.909947e+00   8.143902e-03
  1.951923e+01    1.913801e+00   7.906374e-03
  1.954975e+01    1.895874e+00   8.103432e-03
  1.958027e+01    1.892229e+00   7.843731e-03
  1.961080e+01    1.888001e+00   8.085189e-03
  1.964132e+01    1.876448e+00   7.808003e-03
  1.967185e+01    1.864634e+00   8.021913e-03
  1.970237e+01    1.857949e+00   7.769343e-03
  1.973289e+01    1.862340e+00   8.011614e-03
  1.976342e+01    1.864011e+00   7.792556e-03
  1.979394e+01    1.857103e+00   7.996989e-03
  1.982447e+01    1.844517e+00   7.745684e-03
  1.985499e+01    1.846005e+00   7.972389e-03
  1.988551e+01    1.845754e+00   7.762812e-03
  1.991604e+01    1.828239e+00   7.935469e-03
  1.994656e+01    1.822658e+00   7.708486e-03
  1.997709e+01    1.826623e+00   7.934009e-03
  2.000761e+01    1.823637e+00   7.722088e-03
  2.003813e+01    1.816960e+00   7.907158e-03
  2.006866e+01    1.807644e+00   7.704612e-03
  2.009918e+01    1.796753e+00   7.852851e-03
  2.012971e+01    1.789587e+00   7.671758e-03
  2.016023e+01    1.782815e+00   7.811510e-03
  2.019075e+01    1.780467e+00   7.658014e-03
  2.022128e+01    1.775031e+00   7.783030e-03
  2.025180e+01    1.778988e+00   7.665216e-03
  2.028233e+01    1.782636e+00   7.808567e-03
  2.031285e+01    1.773583e+00   7.658918e-03
  2.034337e+01    1.763560e+00   7.747779e-03
  2.037390e+01    1.762226e+00   7.648088e-03
  2.040442e+01    1.750607e+00   7.711167e-03
  2.043494e+01    1.746623e+00   7.622157e-03
  2.046547e+01    1.741410e+00   7.691541e-03
  2.049599e+01    1.736908e+00   7.617373e-03
  2.052652e+01    1.733502e+00   7.662015e-03
  2.055704e+01    1.735440e+00   7.635244e-03
  2.058756e+01    1.726780e+00   7.637978e-03
  2.061809e+01    1.719153e+00   7.611094e-03
  2.064861e+01    1.717015e+00   7.617456e-03
  2.067914e+01    1.710718e+00   7.615869e-03
  2.070966e+01    1.698482e+00   7.566518e-03
  2.074018e+01    1.702183e+00   7.612229e-03
  2.077071e+01    1.706852e+00   7.588697e-03
  2.080123e+01    1.708786e+00   7.645496e-03
  2.083176e+01    1.703575e+00   7.566875e-03
  2.086228e+01    1.709574e+00   7.663375e-03
  2.089280e+01    1.702173e+00   7.552912e-03
  2.092333e+01    1.700804e+00   7.654203e-03
  2.095385e+01    1.708141e+00   7.562077e-03
  2.098438e+01    1.706872e+00   7.684959e-03
  2.101490e+01    1.707986e+00   7.543510e-03
  2.104542e+01    1.705540e+00   7.691861e-03
  2.107595e+01    1.701666e+00   7.503814e-03
  2.110647e+01    1.702447e+00   7.676929e-03
  2.113700e+01    1.703660e+00   7.490334e-03
  2.116752e+01    1.697856e+00   7.656736e-03
  2.119804e+01    1.691618e+00   7.440706e-03
  2.122857e+01    1.678537e+00   7.601602e-03
  2.125909e+01    1.666034e+00   7.366362e-03
  2.128962e+01    1.654506e+00   7.543241e-03
  2.132014e+01    1.646022e+00   7.308417e-03
  2.135066e+01    1.640631e+00   7.504660e-03
  2.138119e+01    1.626517e+00   7.245540e-03
  2.141171e+01    1.625147e+00   7.466273e-03
  2.144224e+01    1.615686e+00   7.221320e-03
  2.147276e+01    1.601319e+00   7.402909e-03
  2.150328e+01    1.593522e+00   7.171811e-03
  2.153381e+01    1.580909e+00   7.348417e-03
  2.156433e+01    1.578231e+00   7.139002e-03
  2.159485e+01    1.577828e+00   7.341321e-03
  2.162538e+01    1.571051e+00   7.126696e-03
  2.165590e+01    1.571470e+00   7.318711e-03
  2.168643e+01    1.580150e+00   7.152414e-03
  2.171695e+01    1.576901e+00   7.335882e-03
  2.174747e+01    1.556700e+00   7.104261e-03
  2.177800e+01    1.542355e+00   7.238966e-03
  2.180852e+01    1.545289e+00   7.104836e-03
