# {
#     "poni_version": 2.1,
#     "dist": 2.9096968104998107,
#     "poni1": 0.10779319712289274,
#     "poni2": 0.08448893861682619,
#     "rot1": 0.0,
#     "rot2": 0.0,
#     "rot3": 0.0,
#     "detector": "Pilatus1M",
#     "detector_config": {
#         "orientation": 3
#     },
#     "wavelength": 1.0332016536100021e-10
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 123.54586177870002
# --> /Users/vsomani/Documents/SWAXS_data_reduction_correction_Analysis/demo/1D/SAXS/Reduction/Hor_scan_Run5_RampT20_ctr0_scan1_0000_SAXS.dat
#       q_nm^-1              I           sigma 
  4.383614e-01    8.680043e-02   7.989249e-04
  4.405647e-01    8.595181e-02   7.943007e-04
  4.427680e-01    8.496665e-02   7.892803e-04
  4.449713e-01    8.312491e-02   7.770746e-04
  4.471746e-01    8.184627e-02   7.689766e-04
  4.493779e-01    8.102371e-02   7.642585e-04
  4.515811e-01    7.948529e-02   7.532875e-04
  4.537844e-01    7.712615e-02   7.412997e-04
  4.559877e-01    7.610123e-02   7.334345e-04
  4.581910e-01    7.513748e-02   7.281662e-04
  4.603943e-01    7.327917e-02   7.170943e-04
  4.625976e-01    7.221878e-02   7.103391e-04
  4.648009e-01    7.053383e-02   7.005191e-04
  4.670042e-01    6.886231e-02   6.878708e-04
  4.692075e-01    6.850708e-02   6.872019e-04
  4.714108e-01    6.679720e-02   6.764270e-04
  4.736141e-01    6.458171e-02   6.627151e-04
  4.758174e-01    6.322278e-02   6.542345e-04
  4.780207e-01    6.189951e-02   6.472653e-04
  4.802240e-01    6.043230e-02   6.349409e-04
  4.824273e-01    6.026016e-02   6.356283e-04
  4.846306e-01    5.995674e-02   6.312701e-04
  4.868339e-01    5.937590e-02   6.264175e-04
  4.890372e-01    5.867335e-02   6.229929e-04
  4.912405e-01    5.754961e-02   6.138916e-04
  4.934438e-01    5.589932e-02   6.044298e-04
  4.956471e-01    5.435817e-02   5.938373e-04
  4.978504e-01    5.297210e-02   5.843730e-04
  5.000537e-01    5.187192e-02   5.787696e-04
  5.022570e-01    5.118748e-02   5.722332e-04
  5.044603e-01    5.032188e-02   5.663178e-04
  5.066636e-01    4.918084e-02   5.582820e-04
  5.088669e-01    4.801708e-02   5.504697e-04
  5.110701e-01    4.654241e-02   5.418702e-04
  5.132734e-01    4.595662e-02   5.350686e-04
  5.154767e-01    4.621044e-02   5.369713e-04
  5.176800e-01    4.591179e-02   5.346736e-04
  5.198833e-01    4.495926e-02   5.261646e-04
  5.220866e-01    4.404017e-02   5.209696e-04
  5.242899e-01    4.315600e-02   5.145780e-04
  5.264932e-01    4.220151e-02   5.071615e-04
  5.286965e-01    4.190813e-02   5.064143e-04
  5.308998e-01    4.096850e-02   4.977757e-04
  5.331031e-01    3.993141e-02   4.895048e-04
  5.353064e-01    3.990130e-02   4.890606e-04
  5.375097e-01    3.974364e-02   4.872208e-04
  5.397130e-01    3.844442e-02   4.789211e-04
  5.419163e-01    3.690195e-02   4.670617e-04
  5.441196e-01    3.659727e-02   4.653325e-04
  5.463229e-01    3.672612e-02   4.653327e-04
  5.485262e-01    3.616280e-02   4.596169e-04
  5.507295e-01    3.567904e-02   4.578925e-04
  5.529328e-01    3.431135e-02   4.460574e-04
  5.551361e-01    3.375818e-02   4.413160e-04
  5.573394e-01    3.337784e-02   4.394419e-04
  5.595427e-01    3.312127e-02   4.361082e-04
  5.617460e-01    3.287936e-02   4.345719e-04
  5.639493e-01    3.270677e-02   4.332213e-04
  5.661526e-01    3.233889e-02   4.299204e-04
  5.683559e-01    3.134676e-02   4.224466e-04
  5.705591e-01    3.060564e-02   4.159976e-04
  5.727624e-01    3.016966e-02   4.113304e-04
  5.749657e-01    3.014984e-02   4.106772e-04
  5.771690e-01    3.018449e-02   4.117599e-04
  5.793723e-01    2.938493e-02   4.058010e-04
  5.815756e-01    2.848947e-02   3.983525e-04
  5.837789e-01    2.802010e-02   3.942570e-04
  5.859822e-01    2.768056e-02   3.910030e-04
  5.881855e-01    2.701100e-02   3.846827e-04
  5.903888e-01    2.709261e-02   3.851405e-04
  5.925921e-01    2.714761e-02   3.850127e-04
  5.947954e-01    2.702653e-02   3.831256e-04
  5.969987e-01    2.667786e-02   3.811543e-04
  5.992020e-01    2.582481e-02   3.740145e-04
  6.014053e-01    2.525306e-02   3.678151e-04
  6.036086e-01    2.567443e-02   3.716509e-04
  6.058119e-01    2.547605e-02   3.685878e-04
  6.080152e-01    2.508990e-02   3.666664e-04
  6.102185e-01    2.459529e-02   3.628500e-04
  6.124218e-01    2.405180e-02   3.565756e-04
  6.146251e-01    2.382342e-02   3.554327e-04
  6.168284e-01    2.386136e-02   3.534057e-04
  6.190317e-01    2.344810e-02   3.514591e-04
  6.212350e-01    2.261008e-02   3.443844e-04
  6.234383e-01    2.212992e-02   3.386486e-04
  6.256416e-01    2.228029e-02   3.430323e-04
  6.278449e-01    2.224297e-02   3.401397e-04
  6.300481e-01    2.154008e-02   3.361983e-04
  6.322514e-01    2.106801e-02   3.304683e-04
  6.344547e-01    2.132347e-02   3.325362e-04
  6.366580e-01    2.155704e-02   3.332068e-04
  6.388613e-01    2.139836e-02   3.309234e-04
  6.410646e-01    2.092607e-02   3.273771e-04
  6.432679e-01    2.085071e-02   3.265857e-04
  6.454712e-01    2.084898e-02   3.256606e-04
  6.476745e-01    2.017675e-02   3.202610e-04
  6.498778e-01    1.964457e-02   3.143596e-04
  6.520811e-01    1.947064e-02   3.131539e-04
  6.542844e-01    1.935395e-02   3.126990e-04
  6.564877e-01    1.897638e-02   3.086143e-04
  6.586910e-01    1.895504e-02   3.087317e-04
  6.608943e-01    1.924650e-02   3.099604e-04
  6.630976e-01    1.936910e-02   3.103032e-04
  6.653009e-01    1.899019e-02   3.081319e-04
  6.675042e-01    1.861526e-02   3.037103e-04
  6.697075e-01    1.842529e-02   3.017911e-04
  6.719108e-01    1.843718e-02   3.019919e-04
  6.741141e-01    1.824295e-02   2.997263e-04
  6.763174e-01    1.813388e-02   2.998827e-04
  6.785207e-01    1.831414e-02   2.996178e-04
  6.807240e-01    1.809572e-02   2.971706e-04
  6.829273e-01    1.793778e-02   2.963869e-04
  6.851306e-01    1.784759e-02   2.947141e-04
  6.873339e-01    1.765100e-02   2.912902e-04
  6.895371e-01    1.736044e-02   2.901916e-04
  6.917404e-01    1.713484e-02   2.871488e-04
  6.939437e-01    1.676337e-02   2.850060e-04
  6.961470e-01    1.675515e-02   2.837770e-04
  6.983503e-01    1.658747e-02   2.824762e-04
  7.005536e-01    1.654548e-02   2.821321e-04
  7.027569e-01    1.646726e-02   2.808934e-04
  7.049602e-01    1.657836e-02   2.818897e-04
  7.071635e-01    1.653511e-02   2.801417e-04
  7.093668e-01    1.640376e-02   2.778183e-04
  7.115701e-01    1.653744e-02   2.801376e-04
  7.137734e-01    1.634249e-02   2.766591e-04
  7.159767e-01    1.620730e-02   2.764097e-04
  7.181800e-01    1.590940e-02   2.737574e-04
  7.203833e-01    1.558655e-02   2.711177e-04
  7.225866e-01    1.581645e-02   2.731521e-04
  7.247899e-01    1.586533e-02   2.739876e-04
  7.269932e-01    1.559186e-02   2.719142e-04
  7.291965e-01    1.553649e-02   2.722642e-04
  7.313998e-01    1.560162e-02   2.720498e-04
  7.336031e-01    1.541730e-02   2.721297e-04
  7.358064e-01    1.491914e-02   2.691601e-04
  7.380097e-01    1.498948e-02   2.725020e-04
  7.402130e-01    1.506144e-02   2.744045e-04
  7.424163e-01    1.507945e-02   2.756320e-04
  7.446196e-01    1.530649e-02   2.786375e-04
  7.468229e-01    1.504961e-02   2.785802e-04
  7.490261e-01    1.498909e-02   2.792394e-04
  7.512294e-01    1.513533e-02   2.812795e-04
  7.534327e-01    1.469538e-02   2.774210e-04
  7.556360e-01    1.440141e-02   2.770541e-04
  7.578393e-01    1.432327e-02   2.772730e-04
  7.600426e-01    1.447132e-02   2.781381e-04
  7.622459e-01    1.479852e-02   2.816164e-04
  7.644492e-01    1.488001e-02   2.837465e-04
  7.666525e-01    1.465771e-02   2.820613e-04
  7.688558e-01    1.457796e-02   2.820616e-04
  7.710591e-01    1.444105e-02   2.819427e-04
  7.732624e-01    1.446211e-02   2.828356e-04
  7.754657e-01    1.418215e-02   2.811993e-04
  7.776690e-01    1.402311e-02   2.808185e-04
  7.798723e-01    1.414116e-02   2.824215e-04
  7.820756e-01    1.395082e-02   2.806087e-04
  7.842789e-01    1.374494e-02   2.805590e-04
  7.864822e-01    1.350802e-02   2.776208e-04
  7.886855e-01    1.347566e-02   2.794398e-04
  7.908888e-01    1.352215e-02   2.786251e-04
  7.930921e-01    1.343525e-02   2.780227e-04
  7.952954e-01    1.354764e-02   2.758862e-04
  7.974987e-01    1.335245e-02   2.716050e-04
  7.997020e-01    1.321616e-02   2.660923e-04
  8.019053e-01    1.309633e-02   2.647184e-04
  8.041086e-01    1.289307e-02   2.609888e-04
  8.063119e-01    1.273736e-02   2.599244e-04
  8.085152e-01    1.254123e-02   2.567130e-04
  8.107184e-01    1.274865e-02   2.577129e-04
  8.129217e-01    1.256376e-02   2.555797e-04
  8.151250e-01    1.273534e-02   2.554273e-04
  8.173283e-01    1.291537e-02   2.560642e-04
  8.195316e-01    1.275572e-02   2.542874e-04
  8.217349e-01    1.241448e-02   2.500478e-04
  8.239382e-01    1.213293e-02   2.474233e-04
  8.261415e-01    1.214637e-02   2.470910e-04
  8.283448e-01    1.218651e-02   2.466583e-04
  8.305481e-01    1.210212e-02   2.469932e-04
  8.327514e-01    1.205234e-02   2.448640e-04
  8.349547e-01    1.189320e-02   2.438396e-04
  8.371580e-01    1.194366e-02   2.431675e-04
  8.393613e-01    1.192596e-02   2.424155e-04
  8.415646e-01    1.166335e-02   2.400836e-04
  8.437679e-01    1.167000e-02   2.393283e-04
  8.459712e-01    1.188264e-02   2.403232e-04
  8.481745e-01    1.194847e-02   2.406971e-04
  8.503778e-01    1.188140e-02   2.395424e-04
  8.525811e-01    1.159729e-02   2.372924e-04
  8.547844e-01    1.160715e-02   2.358943e-04
  8.569877e-01    1.165005e-02   2.367765e-04
  8.591910e-01    1.132937e-02   2.342294e-04
  8.613943e-01    1.102374e-02   2.310954e-04
  8.635976e-01    1.108798e-02   2.316289e-04
  8.658009e-01    1.105806e-02   2.301789e-04
  8.680042e-01    1.073294e-02   2.267293e-04
  8.702074e-01    1.087925e-02   2.279985e-04
  8.724107e-01    1.110517e-02   2.296566e-04
  8.746140e-01    1.115941e-02   2.282015e-04
  8.768173e-01    1.087019e-02   2.270466e-04
  8.790206e-01    1.061907e-02   2.236247e-04
  8.812239e-01    1.081683e-02   2.256908e-04
  8.834272e-01    1.081328e-02   2.260754e-04
  8.856305e-01    1.024932e-02   2.214705e-04
  8.878338e-01    1.017594e-02   2.212702e-04
  8.900371e-01    1.034242e-02   2.214480e-04
  8.922404e-01    1.031420e-02   2.208403e-04
